make,model,year,label,length_mm,width_mm,height_mm,weight_kg,engine_cc,wheels,seats
Toyota,Corolla,2022,car,4630,1780,1435,1370,1987,4,5
Honda,Civic,2023,car,4674,1802,1415,1345,1498,4,5
Ford,Mustang,2022,car,4788,1916,1381,1696,5000,4,4
BMW,3 Series,2023,car,4709,1827,1435,1535,1998,4,5
Mercedes,C-Class,2022,car,4751,1820,1437,1535,1991,4,5
Volkswagen,Golf,2023,car,4284,1789,1456,1310,1498,4,5
Hyundai,Elantra,2022,car,4680,1825,1415,1335,1591,4,5
Chevrolet,Malibu,2022,car,4923,1854,1459,1418,1998,4,5
Audi,A4,2023,car,4762,1847,1428,1505,1984,4,5
Nissan,Altima,2022,car,4826,1840,1436,1425,2488,4,5
Kia,K5,2023,car,4905,1860,1445,1485,1591,4,5
Toyota,Camry,2022,car,4885,1840,1445,1535,2487,4,5
Honda,Accord,2023,car,4895,1862,1450,1530,1498,4,5
Mazda,Mazda3,2022,car,4459,1795,1435,1340,2000,4,5
Subaru,Impreza,2023,car,4475,1776,1440,1380,1995,4,5
Ford,Focus,2022,car,4358,1823,1484,1290,1000,4,5
Renault,Megane,2022,car,4364,1814,1444,1310,1332,4,5
Peugeot,308,2022,car,4447,1817,1444,1295,1199,4,5
Volkswagen,Passat,2023,car,4767,1832,1477,1455,1984,4,5
Skoda,Octavia,2022,car,4689,1829,1468,1380,1498,4,5
Toyota,RAV4,2022,suv,4600,1855,1685,1825,2487,4,5
Honda,CR-V,2023,suv,4694,1866,1689,1699,1997,4,5
Ford,Escape,2022,suv,4631,1882,1677,1650,1498,4,5
Chevrolet,Equinox,2023,suv,4652,1843,1678,1717,1497,4,5
Nissan,Rogue,2022,suv,4647,1839,1683,1715,2497,4,5
Hyundai,Tucson,2023,suv,4500,1865,1650,1665,1591,4,5
Kia,Sportage,2022,suv,4515,1865,1645,1630,1591,4,5
Mazda,CX-5,2023,suv,4575,1842,1680,1623,2488,4,5
Subaru,Forester,2022,suv,4625,1815,1730,1559,2498,4,5
Volkswagen,Tiguan,2023,suv,4487,1839,1673,1655,1395,4,5
Jeep,Wrangler,2022,suv,4328,1893,1848,1948,3604,4,4
Land Rover,Defender,2023,suv,5018,2008,1967,2310,1999,4,5
Toyota,Land Cruiser,2022,suv,4985,1980,1925,2465,4461,4,7
Ford,Explorer,2023,suv,5050,2004,1778,2014,2999,4,7
Chevrolet,Traverse,2022,suv,5184,2000,1785,2107,3564,4,8
Honda,Pilot,2023,suv,5044,1995,1784,2055,3497,4,8
Toyota,Sequoia,2022,suv,5185,2030,1950,2585,3444,4,8
Ford,Expedition,2023,suv,5660,2006,1983,2630,3500,4,8
Chevrolet,Suburban,2022,suv,5715,2067,1971,2698,5328,4,9
Cadillac,Escalade,2023,suv,5179,2071,1882,2587,6200,4,7
Ford,F-150,2022,pickup_truck,5885,2029,1913,1995,5000,4,6
Chevrolet,Silverado 1500,2023,pickup_truck,5922,2070,1880,2062,5328,4,6
Ram,1500,2022,pickup_truck,5916,2090,1944,2110,3604,4,6
GMC,Sierra 1500,2023,pickup_truck,5898,2040,1880,2030,5328,4,6
Toyota,Tacoma,2022,pickup_truck,5257,1885,1795,1765,3456,4,5
Nissan,Frontier,2023,pickup_truck,5253,1850,1790,1720,3800,4,5
Honda,Ridgeline,2022,pickup_truck,5332,1961,1743,1985,3497,4,5
Jeep,Gladiator,2023,pickup_truck,5588,1890,1842,2100,3604,4,5
Ford,Ranger,2022,pickup_truck,5367,1860,1808,1770,2300,4,5
Chevrolet,Colorado,2023,pickup_truck,5344,1843,1788,1800,2500,4,5
Ford,F-250 Super Duty,2022,heavy_truck,6340,2472,2008,3039,7300,4,6
Chevrolet,Silverado 2500,2023,heavy_truck,6347,2471,1965,3082,6600,4,6
Ram,2500,2022,heavy_truck,6333,2488,2018,3083,5654,4,6
GMC,Sierra 2500,2023,heavy_truck,6347,2470,1965,3068,6600,4,6
Ford,F-350 Super Duty,2022,heavy_truck,6503,2472,2035,3220,7300,4,6
Ram,3500,2023,heavy_truck,6503,2497,2060,3265,5654,4,6
Chevrolet,Silverado 3500,2022,heavy_truck,6503,2471,1965,3357,6600,4,6
Ford,F-450 Super Duty,2023,heavy_truck,6851,2680,2285,4000,7300,4,6
International,HX615,2022,heavy_truck,8890,2591,3658,17000,12900,10,3
Kenworth,T680,2023,heavy_truck,21950,2591,3810,17690,14900,18,2
Peterbilt,389,2022,heavy_truck,22000,2591,3800,17100,14900,18,2
Freightliner,Cascadia,2023,heavy_truck,21000,2590,3810,18000,14900,18,2
Volvo,FH16,2022,heavy_truck,22500,2600,3900,18500,16000,18,2
Mack,Anthem,2023,heavy_truck,21800,2600,3800,16800,12900,18,2
Mercedes,Actros,2022,heavy_truck,22000,2550,3900,18000,12800,18,2
Scania,R650,2023,heavy_truck,22800,2600,3850,18200,15607,18,2
DAF,XF,2022,heavy_truck,21500,2550,3800,17500,12900,18,2
MAN,TGX,2023,heavy_truck,22200,2550,3900,18100,12900,18,2
Iveco,S-Way,2022,heavy_truck,21800,2550,3800,17200,12900,18,2
Ford,Transit,2022,van,5532,2059,2763,1955,2000,4,9
Mercedes,Sprinter,2023,van,6945,2020,2686,2140,2143,4,9
Volkswagen,Crafter,2022,van,6837,1988,2658,2100,1968,4,9
Ram,ProMaster,2023,van,6315,2071,2775,2127,3604,4,9
Chevrolet,Express,2022,van,6019,2080,2132,2490,4300,4,12
Ford,Transit Connect,2023,van,4832,1829,1846,1558,1500,4,5
Mercedes,Metris,2022,van,5140,1928,1935,1885,2000,4,5
Toyota,Sienna,2023,van,5105,1999,1765,2085,2487,4,8
Honda,Odyssey,2022,van,5108,1993,1754,2020,3471,4,8
Chrysler,Pacifica,2023,van,5092,2001,1755,1997,3604,4,7
Toyota,Corolla Cross,2022,suv,4460,1825,1620,1460,1987,4,5
Hyundai,Kona,2023,suv,4205,1800,1565,1362,1591,4,5
Kia,Seltos,2022,suv,4375,1800,1645,1395,1598,4,5
Nissan,Kicks,2023,suv,4295,1760,1588,1232,1598,4,5
Chevrolet,Trax,2022,suv,4268,1776,1594,1315,1350,4,5
Honda,HR-V,2023,suv,4385,1790,1588,1335,1498,4,5
Mazda,CX-30,2022,suv,4395,1795,1540,1395,2000,4,5
Ford,EcoSport,2022,suv,4078,1764,1646,1276,1000,4,5
Volkswagen,T-Roc,2023,suv,4234,1819,1573,1350,1395,4,5
Renault,Captur,2022,suv,4228,1797,1576,1270,999,4,5
Toyota,Hilux,2023,pickup_truck,5325,1855,1815,1905,2755,4,5
Mitsubishi,L200,2022,pickup_truck,5310,1815,1780,1860,2442,4,5
