Product,Brand,PayMode,Amount
Speaker,Bose,UPI,14500
Camera,Nikon,UPI,114500
Laptop,Asus,UPI,73500
Smartwatch,Apple,UPI,50500
Smartwatch,boAt,COD,33500
Washing Machine,Whirlpool,EMI,37500
Headphones,Apple,UPI,15500
TV,Sony,Card,103500
Air Conditioner,Carrier,UPI,57500
Camera,Leica,UPI,196000
Smartwatch,Fitbit,Card,36500
Air Conditioner,Hitachi,COD,36500
Tablet,OnePlus,Card,33000
Refrigerator,Whirlpool,Card,112500
Laptop,Acer,Card,91500
Laptop,Acer,Net Banking,65000
Laptop,Dell,EMI,128000
Camera,Olympus,UPI,198500
Tablet,Honor,COD,69000
Printer,Canon,UPI,3500
Camera,Sony,Card,199500
Smartwatch,Apple,COD,10500
Air Conditioner,Blue Star,Net Banking,79500
Smartwatch,Amazfit,EMI,24500
Speaker,JBL,COD,6500
Mobile,Samsung,UPI,26000
TV,Mi,EMI,106000
Laptop,Samsung,COD,87000
Washing Machine,Panasonic,COD,29500
Headphones,boAt,Wallet,16000
TV,TCL,Card,83500
Laptop,Lenovo,Wallet,122500
Air Conditioner,LG,UPI,60000
TV,Samsung,Net Banking,39500
Printer,Lexmark,Wallet,17500
Tablet,Xiaomi,Card,10500
Mobile,Xiaomi,UPI,38500
Tablet,Samsung,UPI,44500
Tablet,Xiaomi,COD,66000
Laptop,Asus,Net Banking,127000
Refrigerator,Godrej,COD,24500
Headphones,Sennheiser,EMI,17500
Smartwatch,Amazfit,UPI,10500
Washing Machine,LG,COD,60000
Smartwatch,Fitbit,Net Banking,28500
Camera,GoPro,COD,190500
Air Conditioner,Blue Star,Cheque,72500
Laptop,Dell,UPI,101500
Smartwatch,Fossil,Card,5500
Laptop,Apple,UPI,196000
Printer,Ricoh,Card,39000
Air Conditioner,Hitachi,Net Banking,70500
Tablet,Huawei,Card,27000
Washing Machine,Godrej,Card,78000
Smartwatch,Fossil,UPI,3500
Air Conditioner,Blue Star,EMI,52000
Headphones,Bose,Net Banking,32500
Speaker,Bose,EMI,5000
TV,Hisense,Cheque,49500
Tablet,Xiaomi,UPI,88000
Speaker,Sony,Cheque,26500
Mobile,Vivo,Net Banking,69000
TV,LG,COD,244500
Camera,Sony,Card,62000
Printer,Samsung,COD,23500
TV,Panasonic,Card,23500
Printer,Samsung,UPI,9000
Headphones,Jabra,UPI,15500
Tablet,OnePlus,UPI,13500
Washing Machine,LG,UPI,78000
Air Conditioner,LG,UPI,69500
Speaker,Ultimate Ears,COD,6500
Printer,Xerox,Card,4000
Washing Machine,Godrej,COD,58500
Laptop,MSI,UPI,195000
Camera,Olympus,COD,115500
Refrigerator,Voltas,UPI,55000
Camera,Panasonic,UPI,42500
Smartwatch,Fitbit,UPI,4000
Headphones,boAt,Card,23500
Smartwatch,Apple,UPI,44000
Printer,Ricoh,COD,16500
Washing Machine,Panasonic,UPI,63500
Air Conditioner,Hitachi,Card,49000
Air Conditioner,Samsung,UPI,80000
Washing Machine,IFB,UPI,51500
Laptop,Lenovo,Card,115000
Air Conditioner,Haier,UPI,31000
Headphones,Sony,UPI,26500
